dataset,attack_type,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Clotho,quantization,206,2.7718446601941746,2.0718603560792523,0.9975728155339806,0.016111551028339506,0.9975728155339806,0.016111551028339506,0.5018203883495146,0.12528980685123614,0.5012135922330098,0.12575035180984484,0.970873786407767,0.16816027257950264,0.970873786407767,0.16816027257950264,0.0,0.0,0.0,0.0,23.031684486611375,6.335524861396948,63.58440862118619,9.558388281518518
Clotho,reverb,288,2.8055555555555554,2.0523623846739865,0.9969618055555556,0.019249511164528374,0.8608940972222222,0.1417934606601819,0.4943576388888889,0.12998171830848043,0.4880642361111111,0.13158112413218204,0.9652777777777778,0.18307536564533425,0.2465277777777778,0.43098936478958316,0.0,0.0,0.0,0.0,22.505279292662937,5.771577944920751,2.796128010157392,1.866880517920593
Clotho,time_jitter,112,2.607142857142857,1.9335253833770234,0.9972098214285714,0.012907403466763813,0.99609375,0.015128841196122723,0.5139508928571429,0.13329346248807536,0.5167410714285714,0.1346659388964115,0.9553571428571429,0.20651845546822103,0.9375,0.24206145913796356,0.0,0.0,0.0,0.0,23.66740549462182,6.932722469471268,38.084061758858816,11.725294157016123
Clotho,time_stretch,174,2.7988505747126435,2.084369540165787,0.9989224137931034,0.008135597451800375,0.9859913793103449,0.034901152458408725,0.49461206896551724,0.12640259219695688,0.49173850574712646,0.11390799251451475,0.9827586206896551,0.13016955922880602,0.8275862068965517,0.37773969483114905,0.0,0.0,0.0,0.0,23.359791059603637,6.83494203631561,-16.619836530466188,10.955027208718922
Clotho,vorbis,420,2.795238095238095,2.035629349383763,0.997172619047619,0.014349899213106128,0.9959821428571428,0.018110186299127785,0.5017857142857143,0.12043977663512319,0.5041666666666667,0.1221449746869262,0.9595238095238096,0.1970732566350027,0.9476190476190476,0.22279404886265874,0.0,0.0,0.0,0.0,21.718127264295305,5.506597005704093,16.407036517915273,5.42313635870199
DAPS,aac,410,4.5,2.8722813232690143,0.9992378048780488,0.006859756097560976,0.7408536585365854,0.08571899950920457,0.5025914634146341,0.12247040777585924,0.5033536585365853,0.121318480480623,0.9878048780487805,0.1097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,23.574490172688552,3.773574771449681,-29.802604745074017,10.650355095020103
DAPS,background_noise,310,4.5,2.8722813232690143,0.9985887096774193,0.009285144306185043,0.9981854838709677,0.010493559419091213,0.5002016129032258,0.12312079236882606,0.49959677419354837,0.11837201604747027,0.9774193548387097,0.14856230889896072,0.9709677419354839,0.16789695070545943,0.0,0.0,0.0,0.0,23.27475520718482,3.9762072571258402,27.771252822875976,4.679936233358023
DAPS,dac,690,4.5,2.8722813232690143,0.9988224637681159,0.009139578036401344,0.5313405797101449,0.12217131274417473,0.501358695652174,0.1141255821949757,0.49528985507246376,0.12755720245082378,0.9826086956521739,0.13072431633367745,0.0,0.0,0.0,0.0,0.0,0.0,23.16726193220719,4.007021018342273,4.714714735183541,2.6224831832403255
DAPS,dynamic_range_compression,360,4.5,2.8722813232690143,0.9994791666666667,0.0073472583227426475,0.9987847222222223,0.008630061473358729,0.49027777777777776,0.12915359850260788,0.49600694444444443,0.13083310756497388,0.9944444444444445,0.07432826755699806,0.9805555555555555,0.13808098357373966,0.0,0.0,0.0,0.0,24.192568688922456,3.2635133033091166,10.335944990317026,2.6519280105655234
DAPS,dynamic_range_expansion,390,4.5,2.8722813232690143,0.9993589743589744,0.006297077789868109,0.9977564102564103,0.013238382325681655,0.49951923076923077,0.12423551977501143,0.49935897435897436,0.12863150253768285,0.9897435897435898,0.10075324463788975,0.9692307692307692,0.1726918793895665,0.0,0.0,0.0,0.0,23.941151232597157,3.45731304920509,4.8619878947639315,3.147636596682646
DAPS,encodec,590,4.5,2.8722813232690143,0.9995762711864407,0.005128694252928052,0.9708686440677966,0.05826897115838208,0.5013771186440678,0.13162309660993893,0.5099576271186441,0.12868055270792433,0.9932203389830508,0.08205910804684884,0.7254237288135593,0.44630050693203444,0.0,0.0,0.0,0.0,24.18661539110087,3.3498994503435675,11.437378568164373,2.1799356335726108
DAPS,eq,480,4.5,2.8722813232690143,0.9994791666666667,0.005681620893039434,0.9251302083333334,0.11231893402994557,0.4986979166666667,0.12846093113858803,0.4986979166666667,0.12505830888293556,0.9916666666666667,0.09090593428863095,0.51875,0.4996483138168285,0.0,0.0,0.0,0.0,23.872108701864878,3.3154090532940916,2.1074881136844246,3.414043938197226
DAPS,gain,150,4.5,2.8722813232690143,0.9995833333333334,0.0050860648398890415,0.99625,0.016504418600281966,0.48041666666666666,0.14382003125047946,0.48541666666666666,0.1327624497196235,0.9933333333333333,0.08137703743822466,0.9466666666666667,0.22469732728470287,0.0,0.0,0.0,0.0,23.60013863881429,3.588065555201146,90.39454996744792,9.817205224364919
DAPS,gaussian_noise,330,4.5,2.8722813232690143,0.9982954545454545,0.010179814129073247,0.9979166666666667,0.01121909334819688,0.49185606060606063,0.1281514186407341,0.4971590909090909,0.12800914855714443,0.9727272727272728,0.16287702606517196,0.9666666666666667,0.1795054935711501,0.0,0.0,0.0,0.0,23.131629903388745,4.027934547342758,29.217936567826705,5.342657121874544
DAPS,highpass,350,4.5,2.8722813232690143,0.9991071428571429,0.0074166284490339955,0.9751785714285715,0.041430495644968514,0.5033928571428572,0.11989432528144889,0.5064285714285715,0.12447645462135416,0.9857142857142858,0.11866605518454393,0.6857142857142857,0.4642307659791977,0.0,0.0,0.0,0.0,24.19354905264718,3.8602741222159604,-11.976913049763867,8.230469326854926
DAPS,limiter,400,4.5,2.8722813232690143,0.99984375,0.003121091305537215,0.998125,0.011541365820387119,0.48859375,0.11815961381088505,0.49265625,0.12076730191131001,0.9975,0.04993746088859544,0.9725,0.1635351644142629,0.0,0.0,0.0,0.0,24.508050284385682,3.4528035596342495,7.0653530610352755,2.5667566593338473
DAPS,lowpass,500,4.5,2.8722813232690143,0.99925,0.0068053287944081,0.997625,0.01486344088695481,0.492125,0.11521250745904282,0.491625,0.11832232196420082,0.988,0.10888526071052962,0.97,0.17058722109231983,0.0,0.0,0.0,0.0,23.48179789733887,3.578192246122273,15.902400279045105,3.6890183288539253
DAPS,mp3,340,4.5,2.8722813232690143,0.9990808823529411,0.007523302180029825,0.9977941176470588,0.011532637603939794,0.5029411764705882,0.12651867245971585,0.49981617647058824,0.12263371766732847,0.9852941176470589,0.12037283488047722,0.9647058823529412,0.18452220166303673,0.0,0.0,0.0,0.0,23.65996481110068,3.853002784229115,19.146981985428756,2.9352876525476033
DAPS,phase_shift,220,4.5,2.8722813232690143,0.9982954545454545,0.011795761075015166,0.6582386363636363,0.21256588520429603,0.49971590909090907,0.12392975455911565,0.50625,0.12807302160734854,0.9772727272727273,0.14903269373413638,0.12727272727272726,0.33327823236042475,0.0,0.0,0.0,0.0,23.582913238351995,3.620237294576232,-19.224863232401283,13.117962947521951
DAPS,polarity,170,4.5,2.8722813232690143,0.9996323529411765,0.004779411764705883,0.14191176470588235,0.1447259819852389,0.4974264705882353,0.12358684326707162,0.48676470588235293,0.12205882352941176,0.9941176470588236,0.07647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,24.303836654214297,3.5566406701841227,90.57821520637063,4.989423720630673e-06
DAPS,quantization,220,4.5,2.8722813232690143,0.9997159090909091,0.004204161530383166,0.9997159090909091,0.004204161530383166,0.48465909090909093,0.11058546534074042,0.484375,0.11046534447303125,0.9954545454545455,0.06726658448613065,0.9954545454545455,0.06726658448613065,0.0,0.0,0.0,0.0,24.40357700261203,3.5976084966701607,58.92256469726563,6.754800721827198
DAPS,reverb,440,4.5,2.8722813232690143,0.9997159090909091,0.004204161530383166,0.9044034090909091,0.08846946243666594,0.503125,0.12084353731732464,0.5019886363636363,0.12667747111878097,0.9954545454545455,0.06726658448613065,0.25681818181818183,0.43687824769125916,0.0,0.0,0.0,0.0,23.897236516258932,3.3982428987071014,3.7350977081297474,2.407518068630244
DAPS,time_jitter,170,4.5,2.8722813232690143,0.9970588235294118,0.014870403247174032,0.9977941176470588,0.013377503969603128,0.5055147058823529,0.13159762006687825,0.4974264705882353,0.134621590150325,0.9588235294117647,0.19869818534181805,0.9705882352941176,0.1689577248981773,0.0,0.0,0.0,0.0,23.197732229793772,3.8267410903428742,32.88407028422636,7.598158956977224
DAPS,time_stretch,240,4.5,2.8722813232690143,0.9997395833333333,0.004025943967119871,0.9697916666666667,0.0601015489031319,0.5075520833333333,0.12431425399229054,0.5161458333333333,0.1358556586331202,0.9958333333333333,0.06441510347391793,0.725,0.44651427748729383,0.0,0.0,0.0,0.0,23.88953552643458,3.687556634923177,-17.535980696355303,8.786800560560573
DAPS,vorbis,440,4.5,2.8722813232690143,0.9985795454545454,0.009314543358383524,0.9984375,0.009757809372497497,0.5018465909090909,0.13466261203202315,0.506534090909091,0.13527351911654237,0.9772727272727273,0.14903269373413638,0.975,0.15612494995995996,0.0,0.0,0.0,0.0,24.265691241351043,3.460696611253411,21.605714175917885,2.4471808486272844
Freischuetz,aac,50,4.5,2.8722813232690143,0.99375,0.01875,0.7325,0.0984568433375761,0.4725,0.1193471826228001,0.5025,0.12806248474865697,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,23.65059341430664,3.3514805132759253,-24.228592729568483,10.451010350822843
Freischuetz,background_noise,80,4.5,2.8722813232690143,0.9921875,0.02291074734158622,0.9890625,0.032438342956291714,0.51953125,0.12793192388312424,0.52421875,0.11878854226497394,0.8875,0.31598061649411346,0.875,0.33071891388307384,0.0,0.0,0.0,0.0,24.205457377433778,2.846804120110115,28.40852110385895,4.629252332873813
Freischuetz,dac,80,4.5,2.8722813232690143,0.9921875,0.031830544980411504,0.5109375,0.12914041231833667,0.4921875,0.11020887484113973,0.48203125,0.1344816981913803,0.9125,0.2825663638864329,0.0,0.0,0.0,0.0,0.0,0.0,23.191130900382994,2.9467222494153433,6.1003371477127075,2.821314448005017
Freischuetz,dynamic_range_compression,10,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.45,0.11792476415070755,0.44375,0.090355201842506,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.308003997802736,1.0537219134675448,10.144339895248413,1.566859441386089
