attack_type,chunk_index,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
dynamic_range_compression,1,113,1.0,0.0,0.02737038804996954,0.08433664077917308,0.9911504424778761,0.09365491366600322,0.9994469026548672,0.005853432104125201,0.8849557522123894,0.3190753341118575,0.9728982300884956,0.08833987963060966,0.0,0.0,0.32466814159292035,0.11456994637932096,0.0,0.0,0.32577433628318586,0.12289469539216463,48.945607109407405,0.8179923287936739,12.336217405521765,3.57523379806953
dynamic_range_compression,2,110,2.0,0.0,0.0248076365550842,0.06478283038631577,0.9818181818181818,0.13360853142453696,0.9988636363636364,0.008350533214033562,0.8090909090909091,0.393017569476678,0.9625,0.10120018415362333,0.0,0.0,0.3397727272727273,0.1301570491291829,0.0,0.0,0.31931818181818183,0.11222993295569443,48.93035881736062,0.8369805904960967,12.026845919273116,3.700381108842065
dynamic_range_compression,3,98,3.0,0.0,0.03291435434142868,0.1296357504004182,0.9897959183673469,0.10049854899791943,0.9987244897959183,0.01256231862473993,0.8571428571428571,0.3499271061118826,0.9725765306122449,0.07939218565492065,0.0,0.0,0.3080357142857143,0.10723582276307422,0.0,0.0,0.336734693877551,0.11866358733663906,48.92310788680096,0.98400139170481,11.856167836456883,3.598462423082301
dynamic_range_compression,4,73,4.0,0.0,0.020590817774948728,0.07100096907739417,0.9863013698630136,0.11623673115395303,0.9991438356164384,0.007264795697122064,0.8904109589041096,0.31237682879428436,0.9803082191780822,0.06930173405769885,0.0,0.0,0.3416095890410959,0.10804645267405844,0.0,0.0,0.300513698630137,0.12093454508910667,48.8638380390324,0.9374051221052148,11.774439765982432,3.5446507593147256
dynamic_range_compression,5,73,5.0,0.0,0.0204403552113583,0.07752457073205471,1.0,0.0,1.0,0.0,0.9041095890410958,0.2944408939754065,0.9777397260273972,0.0803792001646136,0.0,0.0,0.3125,0.11093855512714518,0.0,0.0,0.324486301369863,0.1164257648308875,48.85443632570031,0.9481879902705256,11.802498111986134,3.5164927642923254
dynamic_range_compression,6,50,6.0,0.0,0.0018386236708323503,0.00410352161788348,1.0,0.0,1.0,0.0,0.94,0.23748684174075838,0.9825,0.09017344398435717,0.0,0.0,0.325,0.11249999999999999,0.0,0.0,0.3,0.10077822185373188,48.844478912353516,0.32643209497757636,10.40476523399353,2.7361481808952925
dynamic_range_expansion,0,117,0.0,0.0,0.03132667980469112,0.09344560871922024,0.9914529914529915,0.09205409926725645,0.999465811965812,0.005753381204203528,0.717948717948718,0.44999817371241646,0.9348290598290598,0.14853117262378435,0.0,0.0,0.3157051282051282,0.10958539100819718,0.0,0.0,0.31196581196581197,0.11599386084726744,49.03934511364016,0.6228269980759252,5.26240608904861,3.7934037945647217
dynamic_range_expansion,1,117,1.0,0.0,0.02392919326024352,0.061886810102347846,0.9914529914529915,0.09205409926725645,0.999465811965812,0.005753381204203528,0.7094017094017094,0.4540384610356727,0.9268162393162394,0.15935286596145914,0.0,0.0,0.31677350427350426,0.10924373861316541,0.0,0.0,0.32211538461538464,0.11688834954365684,49.04008774064545,0.48122203230920374,5.638203603366756,3.970802295215226
dynamic_range_expansion,2,116,2.0,0.0,0.024324648102783827,0.05825821466080071,0.9827586206896551,0.13016955922880602,0.9989224137931034,0.008135597451800378,0.7586206896551724,0.42791978089623645,0.9294181034482759,0.17008376415001394,0.0,0.0,0.30064655172413796,0.10345388813799129,0.0,0.0,0.31573275862068967,0.11831386208452299,49.01257978636643,0.46901899198562813,5.708958345914966,4.282761743169916
dynamic_range_expansion,3,106,3.0,0.0,0.017748641735911775,0.046740659301091204,0.9905660377358491,0.09666934684867547,0.9994103773584906,0.006041834178042217,0.7264150943396226,0.44579839059285514,0.9139150943396226,0.18521660536851547,0.0,0.0,0.3119103773584906,0.1292027220412808,0.0,0.0,0.3284198113207547,0.11647248717138707,49.02731013747881,0.44435182041887666,5.61639652302805,4.234146694092816
dynamic_range_expansion,4,74,4.0,0.0,0.011985594485005956,0.05078312033987965,1.0,0.0,1.0,0.0,0.8783783783783784,0.3268482870931844,0.9619932432432432,0.12784662721198933,0.0,0.0,0.34290540540540543,0.10640551181097041,0.0,0.0,0.29138513513513514,0.11500451070170463,48.94592223296294,0.360423841066356,5.709412341534689,4.75773915690868
dynamic_range_expansion,5,74,5.0,0.0,0.012904859664672785,0.05523504317444727,1.0,0.0,1.0,0.0,0.8378378378378378,0.36859950532394203,0.9366554054054054,0.16615346060429073,0.0,0.0,0.3277027027027027,0.11246753041700883,0.0,0.0,0.3327702702702703,0.1135406579513923,48.9253433330639,0.3603359962714213,5.616564819136181,3.5043628114854855
dynamic_range_expansion,6,52,6.0,0.0,0.0016522652993766812,0.004093114247955754,1.0,0.0,1.0,0.0,0.9230769230769231,0.2664693550105965,0.9951923076923077,0.016654334688162277,0.0,0.0,0.33413461538461536,0.11359285914144865,0.0,0.0,0.3125,0.12257258446136503,48.865709231450005,0.3009527198742328,5.488028980218447,2.522313631764894
