clean,watermarked,attack,instrument,si_snr_clean,si_snr_watermarked,delta_si_snr,snr,lsd,pesq,stoi
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0019/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0019/2_watermarked.wav,,speech,105.716415,22.52862,-83.1878,22.552809642541497,8.993065674239652,4.489353179931641,0.999512419635237
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0020/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0020/2_watermarked.wav,,speech,104.579254,24.335205,-80.24405,24.35101455195072,8.836276602149598,4.474093914031982,0.9990777721360969
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0021/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0021/2_watermarked.wav,,speech,101.025345,24.47295,-76.5524,24.48824731240778,9.202349010359988,4.438440322875977,0.9995924928599021
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0000/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0000/2_watermarked.wav,,speech,103.40631,28.171404,-75.23491,28.17787341089304,9.031713902966928,4.494558811187744,0.9994634918539541
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0001/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0001/2_watermarked.wav,,speech,105.58144,30.118902,-75.46254,30.12312305463565,9.1410555338458,4.471371650695801,0.9991992823796705
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0002/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0002/2_watermarked.wav,,speech,104.17343,27.041273,-77.13216,27.04982731206803,9.003544206512354,4.513340950012207,0.998991557942111
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0003/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0003/2_watermarked.wav,,speech,103.62039,28.768112,-74.85228,28.773802217752895,9.032740601175409,4.5431365966796875,0.9990792412089772
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0004/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0004/2_watermarked.wav,,speech,101.355804,26.460264,-74.89554,26.469951232653163,8.992984390901553,4.544600486755371,0.9997849036123718
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0005/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0005/2_watermarked.wav,,speech,106.35433,26.673498,-79.68083,26.682797200681733,9.062289229499063,4.477323532104492,0.9995863595855407
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0006/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0006/2_watermarked.wav,,speech,105.49548,27.820637,-77.67485,27.827759710098817,9.020037968106054,4.525765895843506,0.9989937994205292
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0007/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0007/2_watermarked.wav,,speech,105.49556,27.576046,-77.91951,27.583216490357245,8.843573599329595,4.489628314971924,0.999388595105122
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0008/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0008/2_watermarked.wav,,speech,104.30421,27.45506,-76.84915,27.462527626897394,9.119093739679863,4.396357536315918,0.9992240922573891
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0009/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0009/2_watermarked.wav,,speech,104.420715,29.274506,-75.14621,29.279380349470433,8.959766483253633,4.483778953552246,0.9990150857144546
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0010/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0010/2_watermarked.wav,,speech,103.912125,29.119484,-74.79264,29.124781470169296,9.15983598599869,4.451087474822998,0.9987892836919559
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0011/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0011/2_watermarked.wav,,speech,102.39676,28.62376,-73.772995,28.629556948349357,9.159433625365244,4.47723388671875,0.9986098032218669
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0012/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149896-0012/2_watermarked.wav,,speech,100.63712,29.70046,-70.93666,29.70491392243214,9.113967932627402,4.506344318389893,0.9978933184367896
