dataset,attack_type,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
DAPS,dac,483,3.0,2.0,0.001444054702571438,0.004473012083513479,1.0,0.0,1.0,0.0,0.0,0.0,0.3201345755693582,0.11592975270522222,0.0,0.0,0.32492236024844723,0.11477735976992275,0.0,0.0,0.32104037267080743,0.11378881916944678,48.82431144793335,0.2916333376187933,5.510305705277816,2.3186109854052463
DAPS,dynamic_range_compression,252,3.0,2.0,0.0013994025173413424,0.004421911281468646,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3263888888888889,0.12208630158733358,0.0,0.0,0.314484126984127,0.11557646126630204,48.73791089133611,0.2635082263956758,29.59385833286104,21.75935949889205
DAPS,dynamic_range_expansion,273,3.0,2.0,0.001755213043468592,0.005864424782668778,1.0,0.0,1.0,0.0,0.9853479853479854,0.12015545396964634,0.9965659340659341,0.04249000370209105,0.0,0.0,0.3166208791208791,0.10784352235984347,0.0,0.0,0.31364468864468864,0.11391486820017932,48.786483569022934,0.25382441473381795,26.349119589878963,26.857939869411073
DAPS,encodec,413,3.0,2.0,0.0011568267375551137,0.003300878394320851,1.0,0.0,1.0,0.0,0.0,0.0,0.33292978208232443,0.11746636697236433,0.0,0.0,0.3312651331719128,0.11834469413260833,0.0,0.0,0.3100786924939467,0.10861865107784581,48.79045475366329,0.2411589212154311,12.193629854816502,2.17836718616612
DAPS,eq,336,3.0,2.0,0.001646383247576834,0.004568880784664563,1.0,0.0,1.0,0.0,0.9880952380952381,0.10845754260886069,0.9990699404761905,0.008973026112494297,0.0,0.0,0.33054315476190477,0.1202113357831189,0.0,0.0,0.33035714285714285,0.11774773962618063,48.81932586715335,0.25554298016819427,11.928568835769381,2.626934551540487
DAPS,gain,105,3.0,2.0,0.0006047041548577979,0.0019443086901292659,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3244047619047619,0.1273865152323375,0.0,0.0,0.3410714285714286,0.1210779250961059,48.70380005609422,0.2952205084998167,83.12081146240234,2.232739147807145
DAPS,gaussian_noise,231,3.0,2.0,0.0016544525296490048,0.003935768491164843,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.32765151515151514,0.11531942644997821,0.0,0.0,0.336038961038961,0.11962424303208141,48.84579510709424,0.29969002874427686,49.53276253572274,5.220674502129297
DAPS,highpass,245,3.0,2.0,0.0013549048477140674,0.004118636466174814,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3066326530612245,0.11509484888516967,0.0,0.0,0.3295918367346939,0.11903346611692898,48.77630433063118,0.28333689210607005,3.3233011685007687,9.04093439638215
DAPS,limiter,280,3.0,2.0,0.0019433087953119655,0.005141036142883662,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.32321428571428573,0.11401334732103492,0.0,0.0,0.3140625,0.11047438546445958,48.795334162030905,0.24357731412508285,24.165762025969368,18.25759215756885
DAPS,lowpass,350,3.0,2.0,0.0017756305442143457,0.004738957356966868,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3391071428571429,0.10667292777648958,0.0,0.0,0.33839285714285716,0.10579886216162193,48.82435096740723,0.285647060490257,28.26521975381034,8.334849091636308
DAPS,mp3,238,3.0,2.0,0.00133236241751641,0.003560579959486438,1.0,0.0,1.0,0.0,0.8949579831932774,0.30660755292702574,0.9771533613445378,0.09407310210214992,0.0,0.0,0.32195378151260506,0.12490507305796722,0.0,0.0,0.3269432773109244,0.11273099504892796,48.814450544469494,0.2632602347659131,34.20828824083344,4.9953499670255495
